1,130,70
2,190,75
3,215,20
4,265,75
5,265,135
6,235,150
7,185,170
8,110,130
9,80,130
10,115,205
11,65,230
12,70,380
13,125,310
14,205,230
15,155,400
16,120,530
17,105,420
18,55,450
19,35,465
20,45,490
21,995,620
22,990,715
23,775,990
24,920,1000
25,880,825
26,1000,915
27,925,750
28,820,920
29,1000,800
30,940,765
31,955,770
32,965,885
33,895,840
34,910,940
35,880,970
36,845,945
37,840,985
38,30,485
39,30,520
40,90,550
41,275,110
42,240,45
43,260,20
44,290,60
45,310,95
46,335,135
47,325,165
48,295,140
49,355,170
50,545,465
51,490,415
52,495,390
53,535,485
54,810,940
55,790,910
56,780,885
57,795,860
58,815,880
59,835,900
60,740,1000
61,345,100
62,655,670
63,700,690
