1,65,0
2,145,0
3,225,0
4,325,0
5,365,0
6,775,0
7,970,45
8,810,100
9,640,115
10,615,100
11,500,100
12,370,210
13,315,135
14,290,95
15,210,310
16,240,325
17,135,560
18,175,575
19,160,630
20,130,610
21,100,545
22,15,495
23,0,490
24,0,60
25,45,65
26,75,70
27,120,70
28,215,410
29,325,465
30,390,405
31,325,290
32,455,350
33,525,285
34,495,230
35,675,270
36,655,185
37,590,190
38,700,375
39,875,330
40,505,430
41,425,530
42,360,645
43,455,630
44,890,365
45,945,355
46,1000,330
47,1000,355
48,970,520
49,1000,520
50,975,550
51,935,570
52,1000,580
53,675,680
54,705,715
55,810,910
56,755,1000
57,920,1000
58,870,820
59,1000,915
60,915,745
61,1000,800
62,605,1000
63,605,900
64,515,900
65,425,910
66,390,935
67,400,1000
68,325,970
69,275,1000
70,315,850
71,140,855
72,405,845
73,395,760
74,500,735
75,115,845
76,85,840
77,0,815
78,0,835
79,80,855
80,115,860
81,90,1000
82,55,1000
