1,25,50,40,1,true
24,25,50,40,1,true
25,26,50,40,1,true
26,27,50,40,1,true
27,2,50,40,1,true
3,14,50,40,2,false
14,3,50,40,2,false
4,14,50,70,3,false
13,5,50,70,3,false
14,13,50,70,3,false
13,12,50,40,1,false
12,11,50,40,1,false
11,12,50,40,1,false
11,10,50,40,1,false
10,11,50,40,1,false
10,9,50,40,1,false
9,10,50,40,1,false
9,36,50,40,1,true
9,8,50,40,1,false
8,9,50,40,1,false
37,36,50,40,1,false
36,37,50,40,1,false
36,35,50,40,1,true
35,38,50,40,1,true
35,33,50,40,1,false
33,34,50,40,1,false
34,33,50,40,1,false
33,32,50,40,1,true
12,32,50,40,1,false
32,12,50,40,1,false
32,40,50,40,1,false
40,32,50,40,1,false
40,38,50,40,1,true
38,39,50,40,1,true
8,39,50,40,1,false
6,8,50,40,1,false
8,7,50,40,1,false
7,8,50,40,1,false
41,40,50,40,1,true
41,42,50,40,1,false
18,42,50,40,1,false
42,18,50,40,1,false
29,41,50,40,1,true
29,28,50,40,1,false
32,30,50,40,1,true
30,29,50,40,1,true
30,31,50,40,1,false
31,30,50,40,1,false
15,16,50,70,1,false
14,15,50,70,3,false
16,13,50,70,3,false
28,16,50,70,3,false
15,17,50,70,3,false
18,28,50,70,3,false
19,18,50,70,3,false
19,17,50,70,2,false
17,18,50,70,3,false
17,20,50,70,3,false
17,21,50,70,2,false
21,20,50,70,2,false
21,22,50,50,2,false
22,21,50,50,2,false
22,23,50,50,2,false
23,22,50,50,2,false
22,26,50,30,1,false
